English Word,Node Collections
taxi,Objective Focus -> Material Object
telephone,Objective Focus -> Material Object
tent,Objective Focus -> Material Object
thermometer,Objective Focus -> Material Object
thimble,Objective Focus -> Material Object
tie,Objective Focus -> Material Object
tiger,Identity -> Species
toad,Identity -> Species
toaster,Objective Focus -> Material Object
toilet,Objective Focus -> Material Object
tomahawk,Objective Focus -> Material Object
tomato,Objective Focus -> Material Object
tongs,Objective Focus -> Material Object
tortoise,Identity -> Species
toy,Objective Focus -> Material Object
tractor,Objective Focus -> Material Object
trailer,Objective Focus -> Material Object
train,Objective Focus -> Material Object
tray,Objective Focus -> Material Object
tricycle,Objective Focus -> Material Object
tripod,Objective Focus -> Material Object
trolley,Objective Focus -> Material Object
trombone,Objective Focus -> Material Object
trousers,Objective Focus -> Material Object
trout,Objective Focus -> Material Object
truck,Objective Focus -> Material Object
trumpet,Objective Focus -> Material Object
tuba,Objective Focus -> Material Object
tuna,Objective Focus -> Material Object
turkey,Identity -> Species
turnip,Objective Focus -> Material Object
turtle,Identity -> Species
typewriter,Objective Focus -> Material Object
umbrella,Objective Focus -> Material Object
unicycle,Objective Focus -> Material Object
urn,Objective Focus -> Material Object
van,Objective Focus -> Material Object
veil,Objective Focus -> Material Object
vest,Objective Focus -> Material Object
vine,Objective Focus -> Material Object
violin,Objective Focus -> Material Object
vulture,Identity -> Species
wagon,Objective Focus -> Material Object
wall,Objective Focus -> Material Object
walnut,Objective Focus -> Material Object
walrus,Identity -> Species
wand,Objective Focus -> Material Object
wasp,Identity -> Species
whale,Identity -> Species
wheel,Objective Focus -> Material Object
wheelbarrow,Objective Focus -> Material Object
whip,Objective Focus -> Material Object
whistle,Objective Focus -> Material Object
willow,Objective Focus -> Material Object
woodpecker,Identity -> Species
worm,Identity -> Species
wrench,Objective Focus -> Material Object
yacht,Objective Focus -> Material Object
yam,Objective Focus -> Material Object
zebra,Identity -> Species
zucchini,Objective Focus -> Material Object
2,
Adjective,
,
,
abandoned,Objective Focus -> Immaterial -> Factual Focus->Subjective Focus -> Abstract->Positive
able,Objective Focus -> Immaterial -> Perspective || Subjective Focus -> Creative Focus->Subjective Focus -> Abstract->Positive
absolute,Objective Focus -> Immaterial -> Factual -> Perspective || Subjective Focus -> Abstract || Spatial -> Space -> Near/Close Focus->Subjective Focus -> Abstract->Positive
academic,Objective Focus -> Immaterial -> Factual Focus->Subjective Focus -> Abstract->Positive
acceptable,Objective Focus -> Immaterial -> Opinion || Subjective Focus -> Abstract Focus->Subjective Focus -> Abstract->Positive
acclaimed,Objective Focus -> Immaterial -> Factual || Subjective Focus -> Creative Focus->Subjective Focus -> Abstract->Positive
accomplished,Objective Focus -> Immaterial -> Factual Focus->Subjective Focus -> Abstract->Positive
accurate,Objective Focus -> Immaterial -> Factual Focus->Subjective Focus -> Abstract->Positive
aching,Objective Focus -> Immaterial -> Perspective || Focus->Subjective Focus -> Abstract->Negative
acidic,Objective Focus -> Immaterial -> Factual Focus->Subjective Focus -> Abstract->Positive
acrobatic,Objective Focus -> Immaterial -> Factual Focus->Subjective Focus -> Abstract->Positive
active,Objective Focus -> Immaterial -> Factual -> Perspective || Subjective Focus -> Abstract Focus->Subjective Focus -> Abstract->Positive
actual,Objective Focus -> Immaterial -> Factual Focus->Subjective Focus -> Abstract->Positive
adept,Objective Focus -> Immaterial -> Factual Focus->Subjective Focus -> Abstract->Positive
admirable,Objective Focus -> Immaterial -> Perspective || Subjective Focus -> Creative Focus->Subjective Focus -> Abstract->Positive
admired,Objective Focus -> Immaterial -> Perspective || Subjective Focus -> Creative Focus->Subjective Focus -> Abstract->Positive
adolescent,Objective Focus -> Immaterial -> Factual Focus->Subjective Focus -> Abstract->Positive
adorable,Objective Focus -> Immaterial -> Perspective || Subjective Focus -> Creative Focus->Subjective Focus -> Abstract->Positive
adored,Objective Focus -> Immaterial -> Factual -> Perspective || Subjective Focus -> Creative Focus->Subjective Focus -> Abstract->Positive
advanced,Objective Focus -> Immaterial -> Factual Focus->Subjective Focus -> Abstract->Positive
adventurous,Objective Focus -> Immaterial -> Perception || Subjective Focus -> Abstract Focus->Subjective Focus -> Abstract->Positive
affectionate,Objective Focus -> Immaterial -> Factual || Subjective Focus -> Creative Focus->Subjective Focus -> Abstract->Positive
afraid,Objective Focus -> Immaterial -> Opinion Perspective || Subjective Focus -> Abstract Focus->Subjective Focus -> Abstract->Positive
aged,Objective Focus -> Immaterial -> Factual Focus->Subjective Focus -> Abstract->Negative
aggravating,Objective Focus -> Immaterial -> Opinion || Subjective Focus -> Creative Focus->Subjective Focus -> Abstract->Negative
aggressive,Objective Focus -> Immaterial -> Factual -> percerspective || Subjective Focus -> Creative Focus->Subjective Focus -> Abstract->Negative
agile,Objective Focus -> Immaterial -> Factual Focus->Subjective Focus -> Abstract->Positive
agitated,Objective Focus -> Immaterial -> Factual -> Perspective || Subjective Focus -> Creative Focus->Subjective Focus -> Abstract->Negative
agonizing,Objective Focus -> Immaterial -> Factual || Subjective Focus -> Creative Focus->Subjective Focus -> Abstract->Negative
agreeable,Objective Focus -> Immaterial -> Perspective || Subjective Focus -> Creative Focus->Subjective Focus -> Abstract->Positive
ajar,Objective Focus -> Material Object -> Immaterial -> Factual Focus->Subjective Focus -> Abstract->Negative
alarmed,Objective Focus -> Immaterial -> Factual || Subjective Focus -> Creative Focus->Subjective Focus -> Abstract->Negative
alarming,Objective Focus -> Immaterial -> Perspective || Subjective Focus -> Creative Focus->Subjective Focus -> Abstract->Negative
alert,Objective Focus -> Immaterial -> Factual -> Perspective || Focus->Subjective Focus -> Abstract->Positive
alienated,Objective Focus -> Immaterial -> Factual -> Perspective || Focus->Subjective Focus -> Abstract->Negative
alive,Objective Focus -> Immaterial -> Factual Focus->Subjective Focus -> Abstract->Positive
all,Universal Focus || Objective Focus -> Immaterial -> Factual -> Perspective || Subjective Focus -> Abstract Focus->Subjective Focus -> Abstract->Positive
